Class,Class notes,Present in dynamic headspace,cylindrica headspace samples,unguiculata headspace samples,Present in SPME,Compound name,IUPAC,"RT, min.",KI,Published KI,Standard run?,Percent match with library,Mass spectra for tentatively identified compounds and unknowns:,Compound for standardization
Sesquiterpenes and C15 derivatives,,x,132,14,x,beta cadinene,"(1S,4aR,8aS)-4,7-dimethyl-1-propan-2-yl-1,2,4a,5,8,8a-hexahydronaphthalene",10.693,1713,,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,9,6,,beta farnesene,"(6E)-7,11-dimethyl-3-methylidenedodeca-1,6,10-triene",10.352,1678,1658,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,85,34,x,beta longipinene,"(1S,2R,7S,8S)-2,6,6-Trimethyl-9-methylenetricyclo[5.4.0.02,8]undecane",10.925,1757,,,<90%,"41 (100), 67 (36.1), 79 (69.2), 91 (65.9), 93 (59.4), 105 (54.12), 107 (55.4), 119 (36.8), 133 (37.2), 161 (64.8)",
Monoterpenoids,,x,43,86,x,beta myrcene,"7-methyl-3-methylideneocta-1,6-diene",5.581,1169,1166; 1161,Authentic standard,,,
Monoterpenoids,,x,47,44,x,beta phellandrene,3-methylidene-6-propan-2-ylcyclohexene,6.065,1227,1209,,95%,"41 (20.7), 65 (11.4), 77 (43.2), 79 (24.9), 80 (11.5), 91 (47.2), 92 (11.6), 93 (100), 94 (14.0), 136 (15.6)",
Monoterpenoids,,x,24,68,x,beta pinene,"6,6-dimethyl-4-methylidenebicyclo[3.1.1]heptane",4.942,1111,1136; 1114,Authentic standard,,,beta pinene
Monoterpenoids,Terpene alcohol,x,9,66,,borneol,"4,7,7-trimethylbicyclo[2.2.1]heptan-3-ol",9.468,1579,1677,,<90%,"45 (30.8), 53 (28.6), 67 (31.8), 77 (53.2), 79 (52.7), 81 (31.5), 91 (68.1), 93 (70.0), 95 (100), 150 (38.6)",
Sesquiterpenes and C15 derivatives,Oxygenated,x,38,7,,caryophyllene oxide," (1R,4R,6R,10S)-9-Methylene-4,12,12-trimethyl-5-oxatricyclo[8.2.0.04,6]dodecane",12.928,2029,1962,,<90% (low 80s),"41 (100), 67 (37.2), 77 (45.6), 79 (77.7), 91 (53.0), 93 (66.5), 95 (43.6), 96 (36.2), 105 (40.0), 107 (33.4)",
Aromatics/Nitrogen,,x,17,0,,cinnamic alcohol,(E)-3-phenylprop-2-en-1-ol,14.762,2311,,,91%,"51 (55.8), 55 (37.8), 77 (49.0), 78 (71.2), 79 (37.3), 91 (84.0), 92 (100), 105 (47.2), 115 (49.3), 134 (48.7)",
Green Leafy Volatile,,x,22,71,x,cis 3 hexen 1 ol,(Z)-hex-3-en-1-ol,7.842,1404,1357,Authentic standard,,,
Green Leafy Volatile,,x,15,88,x,cis 3 hexenyl acetate,[(Z)-hex-3-enyl] acetate,7.203,1335,,Authentic standard,,,
Monoterpenoids,,x,64,96,x,cis beta ocimene,"(3Z)-3,7-dimethylocta-1,3,6-triene",6.346,1253,1225,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,16,9,x,cis DMNT,"(3Z)-4,8-dimethylnona-1,3,7-triene",6.777,1293,,,93%,"41 (100), 53 (14.9), 67 (8.9), 69 (96.7), 79 (12.5), 81 (9.7), 82 (6.5), 94 (4.3), 107 (7.7), 135 (2.6)",
Green Leafy Volatile,,x,14,17,,cis jasmone,3-methyl-2-[(Z)-pent-2-enyl]cyclopent-2-en-1-one,12.583,1980,,,92%,"41 (94.0), 53 (47.1), 67 (43.2), 55 (73.4), 77 (55.0), 79 (100), 91 (57.5), 93 (49.7), 110 (53.7), 122 (42.1)",
Sesquiterpenes and C15 derivatives,,x,4,39,x,gamma cadinene,"(1S,4aR,8aR)-7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1H-naphthalene",11.199,1791,1759; 1752,,<90%,"41 (81.5), 55 (36.28), 81 (48.7), 91 (63.6), 105 (83.5), 119 (90.9), 134 (90.4), 161 (100), 189 (26.1), 204 (33.0)",
Monoterpenoids,,x,19,39,x,gamma terpinene,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",6.474,1261,1238,Authentic standard,,,
Monoterpenoids,Terpene alcohol,x,43,14,,geraniol,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",10.492,1702,1814,,90%,"41 (100), 53 (10.1), 59 (8.6), 67 (14.9), 68 (18.6), 69 (76.9), 81 (7.2), 93 (5.9), 111 (17.8), 123 (6.8)",
Sesquiterpenes and C15 derivatives,,x,59,67,x,germacrene D,"(1E,6E)-1-methyl-5-methylidene-8-propan-2-ylcyclodeca-1,6-diene",10.885,1737,1687; 1705,Authentic standard,,,
Sesquiterpenes and C15 derivatives,Oxygenated,x,126,10,x,intermedeol,"(1S,4aS,7R,8aS)-1,4a-dimethyl-7-prop-1-en-2-yl-2,3,4,5,6,7,8,8a-octahydronaphthalen-1-ol",14.560,2278,,,95%,"41 (52.8), 43 (100), 55 (29.8), 67 (32.7), 71 (29.0), 81 (37.9), 93 (19.8), 161 (19.9), 189 (19.5), 204 (19.1)",
Monoterpenoids,,x,35,45,x,limonene,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene,5.951,1300,1217,Authentic standard,,,limonene
Monoterpenoids,Terpene alcohol,x,14,21,x,linalool,"3,7-Dimethylocta-1,6-dien-3-ol",9.338,1563,1517; 1522,Authentic standard,,,
Aromatics/Nitrogen,methyl ester,x,2,51,,methyl nicotinate,methyl pyridine-3-carboxylate,11.317,1737,,Authentic standard,,,
Aromatics/Nitrogen,organic ester,x,8,25,x,methyl salicylate,methyl 2-hydroxybenzoate,11.320,1733,,Authentic standard,,,methyl salicylate
Monoterpenoids,Oxygenated,x,26,33,x,myroxide,"2,2-dimethyl-3-[(2E)-3-methylpenta-2,4-dienyl]oxirane",8.831,1506,,,<90% (low 80s),"41 (22.4), 43 (53.3), 53 (13.4), 56 (40.0), 73 (18.2), 77 (27.7), 79 (100), 81 (38.3), 84 (12.9), 93 (11.1)",
Monoterpenoids,monoterpene aromatic ,x,0,23,x,para cymene,1-methyl-4-propan-2-ylbenzene,6.725,1282,1261,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,6,1,,patchoulane,"1H-3a,7-Methanoazulene, octahydro-1,4,9,9-tetramethyl-",13.994,2189,,,<90% (low 80s),"41 (100), 53 (42.8), 55 (54.8), 67 (45.8), 79 (44.4), 91 (50.5), 93 (38.1), 95 (38.2), 105 (39.1), 119 (32.7)",
Monoterpenoids,,x,26,52,x,sabinene,4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane,5.103,1116,1123,Authentic standard,,,
Monoterpenoids,Terpene alcohol,x,1,22,x,sabinene hydrate,4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-4-ol,9.400,1571,,,90%,"43 (100), 45 (14.7), 53 (11.8), 69 (33.6), 71 (41.7), 79 (22.8), 81 (31.1), 93 (28.0), 111 (19.6), 121 (13.2)",
Monoterpenoids,Terpene alcohol,x,0,10,x,terpinen-4-ol,4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,9.883,1628,1579,Authentic standard,,,
Aromatics/Nitrogen,,Internal standard,135,135,,toluene,Methyl benzene,4.184,1051,1042,Authentic standard,,,toluene
Green Leafy Volatile,,x,64,44,x,trans 2 hexen 1 ol,(E)-hex-2-en-1-ol,8.041,1431,1377,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,63,73,x,trans beta caryophyllene,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",9.920,1626,1575; 1594,Authentic standard,,,trans beta caryophyllene
Monoterpenoids,,x,67,103,x,trans beta ocimene,"(3E)-3,7-dimethylocta-1,3,6-triene",6.529,1274,1250; 1242,Authentic standard,,,trans beta ocimene
Aromatics/Nitrogen,,x,70,2,,trans cinnamic aldehyde,(E)-3-phenylprop-2-enal,13.212,2092,,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,1,20,,trans DMNT,"(3E)-4,8-dimethylnona-1,3,7-triene",7.106,1319,,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,26,53,x,trans trans alpha farnesene,"(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",11.068,1762,1725,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,1,12,x,unknown C15H24 (1),,10.671,1724,,,NA,"43 (86.0), 57 (100), 71 (70.6), 77 (13.7), 79 (12.9), 85 (27.4), 93 (27.8), 99 (12.0), 105 (19.6),  161 (26.2)",
Sesquiterpenes and C15 derivatives,,x,66,4,x,unknown C15H24 (2),,10.927,1757,,,NA,"41 (100), 77 (43.8), 79 (61.1), 91 (66.2), 93 (57.3), 105 (57.9), 107 (47.2), 119 (40.2), 133 (31.3), 161 (57.5)",
Sesquiterpenes and C15 derivatives,,x,113,15,x,unknown C15H24 (3),,11.283,1799,,,,"41 (81.2), 55 (44.0), 79 (38.2), 81 (37.0), 91 (48.1), 93 (30.6), 105 (38.6), 107 (75.8), 122 (88.0), 161 (100)",
Aromatics/Nitrogen,Dimethyl ether,x,86,0,x,veratrole,"1,2-dimethoxybenzene",10.974,1750,,Authentic standard,,,
Monoterpenoids,Oxygenated,x,0,4,x,verbenone,"2,6,6-trimethylbicyclo[3.1.1]hept-2-en-4-one",10.804,1741,,,90%,"41 (67.1), 53 (39.0), 55 (36.8), 67 (42.9), 77 (38.0), 79 (53.0), 80 (61.6), 91 (77.1), 107 (100), 135 (51.6)",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sources for published KI values:,,,,,,,,,,,,,,
Yanez et al. 2002 in Molecules,,,,,,,,,,,,,,
Chung et al 1993 in J. Agric. Food Chem.,,,,,,,,,,,,,,
